taxon	min	max
Adapis_parisiensis	33.9	41.3
Aegyptopithecus_zeuxis	28.1	33.9
Leptadapis_magnus	33.9	41.3
Purgatorius_unio	63.3	66
Saharagalago_misrensis	33.9	38
Karanisia_clarki	33.9	38
Komba_robustus	20	22.4
Donrussellia_provincialis	48.6	55.8
Cantius_abditus	50.3	55.8
Altiatlasius_koulchii	56	59.2
Pronycticebus_gaudryi	38	47.8
Nycticeboides_simpsoni	5.3	11.6
Djebelemur_martinezi	46	52
Wadilemur_elegans	28.1	34
Plesiopithecus_teras	28	34
Plesiadapis_tricuspidens	56	58.7
Carpolestes_simpsoni	56.5	56.5
Anchomomys_frontanyensis	37.2	48.6
Branisella_boliviana	26.4	26.4
Teilhardina_americana	50.3	55.8
Archaeoindris_fontoynontii	0.002149	0.002149
Archaeolemur_edwardsi	0.001	0.001
Archaeolemur_majori	0.0014	0.0014
Babakotia_radafolia	0.00484	0.00484
Daubentonia_robustus	0.001	0.001
Hadropithecus_stenognathus	0.0016	0.0016
Megaladapis_edwardsi	0.001	0.001
Megaladapis_madagascariensis	0.00276	0.00276
Megaladapis_grandidieri	0.001	0.001
Mesopropithecus_dolichobrachion	0.0014	0.0014
Mesopropithecus_pithecoides	0.0014	0.0014
Pachylemur_jullyi	0.001	0.001
Pachylemur_insignis	0.001	0.001
Palaeopropithecus_ingens	0.001	0.001
Palaeopropithecus_maximus	0.00216	0.00216
Allenopithecus_nigroviridis	0	0
Alouatta_seniculus	0	0
Aotus_trivirgatus	0	0
Pan_troglodytes	0	0
Saimiri_sciureus	0	0
Tarsius_bancanus	0	0
Tarsius_syrichta	0	0
Homo_sapiens	0	0
Allocebus_trichotis	0	0
Avahi_betsileo	0	0
Avahi_cleesei	0	0
Avahi_laniger	0	0
Avahi_meridionalis	0	0
Avahi_occidentalis	0	0
Avahi_peyrierasi	0	0
Avahi_ramanantsoavanai	0	0
Avahi_unicolor	0	0
Cheirogaleus_crossleyi	0	0
Cheirogaleus_lavasoaensis	0	0
Cheirogaleus_major	0	0
Cheirogaleus_medius	0	0
Cheirogaleus_sibreei	0	0
Daubentonia_madagascariensis	0	0
Eulemur_albifrons	0	0
Eulemur_cinereiceps	0	0
Eulemur_collaris	0	0
Eulemur_coronatus	0	0
Eulemur_flavifrons	0	0
Eulemur_fulvus	0	0
Eulemur_macaco	0	0
Eulemur_mongoz	0	0
Eulemur_rubriventer	0	0
Eulemur_rufifrons	0	0
Eulemur_rufus	0	0
Eulemur_sanfordi	0	0
Hapalemur_alaotrensis	0	0
Hapalemur_aureus	0	0
Hapalemur_griseus	0	0
Hapalemur_meridionalis	0	0
Hapalemur_occidentalis	0	0
Hapalemur_simus	0	0
Indri_indri	0	0
Lemur_catta	0	0
Lepilemur_aeeclis	0	0
Lepilemur_ankaranensis	0	0
Lepilemur_dorsalis	0	0
Lepilemur_edwardsi	0	0
Lepilemur_hubbardorum	0	0
Lepilemur_jamesi	0	0
Lepilemur_leucopus	0	0
Lepilemur_manasamody	0	0
Lepilemur_microdon	0	0
Lepilemur_mittermeieri	0	0
Lepilemur_mustelinus	0	0
Lepilemur_otto	0	0
Lepilemur_randrianasoloi	0	0
Lepilemur_ruficaudatus	0	0
Lepilemur_sahamalazensis	0	0
Lepilemur_seali	0	0
Lepilemur_septentrionalis	0	0
Microcebus_arnholdi	0	0
Microcebus_berthae	0	0
Microcebus_bongolavensis	0	0
Microcebus_danfossi	0	0
Microcebus_gerpi	0	0
Microcebus_griseorufus	0	0
Microcebus_jollyae	0	0
Microcebus_lehilahytsara	0	0
Microcebus_macarthurii	0	0
Microcebus_mamiratra	0	0
Microcebus_margotmarshae	0	0
Microcebus_marohita	0	0
Microcebus_mittermeieri	0	0
Microcebus_murinus	0	0
Microcebus_myoxinus	0	0
Microcebus_ravelobensis	0	0
Microcebus_rufus	0	0
Microcebus_sambiranensis	0	0
Microcebus_simmonsi	0	0
Microcebus_tanosi	0	0
Microcebus_tavaratra	0	0
Mirza_coquereli	0	0
Mirza_zaza	0	0
Phaner_furcifer	0	0
Propithecus_candidus	0	0
Propithecus_coquereli	0	0
Propithecus_coronatus	0	0
Propithecus_deckenii	0	0
Propithecus_diadema	0	0
Propithecus_edwardsi	0	0
Propithecus_perrieri	0	0
Propithecus_tattersalli	0	0
Propithecus_verreauxi	0	0
Varecia_rubra	0	0
Varecia_variegata	0	0
Arctocebus_calabarensis	0	0
Euoticus_elegantulus	0	0
Galago_alleni	0	0
Galago_matschiei	0	0
Galago_moholi	0	0
Galago_senegalensis	0	0
Galago_thomasi	0	0
Galagoides_cocos	0	0
Galagoides_demidoff	0	0
Galagoides_zanzibaricus	0	0
Loris_tardigradus	0	0
Nycticebus_bengalensis	0	0
Nycticebus_coucang	0	0
Nycticebus_javanicus	0	0
Nycticebus_menagensis	0	0
Nycticebus_pygmaeus	0	0
Otolemur_crassicaudatus	0	0
Otolemur_garnettii	0	0
Perodicticus_potto	0	0
